X,Y,B1,B4,B7,Ag,B,Al2O3,As,Au,Ba,Be,Bi,CaO,Cd,Co,Cr,Cu,F,Fe2O3,Hg,K2O,La,Li,MgO,Mn,Mo,Na2O,Nb,Ni,P,Pb,Sb,SiO2,Sn,Sr,Th,Ti,U,V,W,Y2,Zn,Zr,Gravity,Magnetic,type
491835.8479,4631498.573,11722,12715,13780,37.9791985,14.1948004,12.8635998,5.6220899,1.31653,849.1970215,2.21474,0.144064,1.95977,51.2013016,3.9191999,12.1152,12.3297997,276.9710083,2.41119,10.4734001,3.8506999,15.3802996,6.52072,0.465185,349.3529968,1.01522,3.4653101,12.2599001,8.0980597,463.0509949,12.3526001,0.367493,70.259903,1.11976,201.7700043,10.5143003,2037.849976,1.68479,35.1999016,0.965291,33.2742996,37.2167015,201.8240051,-184.4579926,-74.5082016,4
492835.8479,4631498.573,11724,12763,13788,37,15,12.9899998,5,0.9,866,2.3299999,0.14,1.79,50,3.5,11.6000004,12.8000002,247,2.3299999,10,4.1100001,15,5.8000002,0.41,337,1.1,3.53,12.3999996,7.8600001,465,13,0.4,70.6500015,1.1,192,10.8999996,1960,1.8,33,0.94,32.4000015,36,194,-184.151001,-75.5557022,4
493835.8479,4631498.573,11702,12803,14317,39.1315994,14.5699997,12.3455,6.0285501,1.36423,864.960022,2.08954,0.155894,1.88862,50.8317986,3.8974199,12.6255999,12.3613005,311.1940002,2.31002,11.0810003,3.6890199,15.3909998,6.5058098,0.450985,343.223999,1.05013,3.3670101,12.2911997,7.57409,424.7950134,11.3329,0.416482,71.6249008,1.21207,199.5469971,10.7828999,1911.02002,1.88209,32.8554001,1.06566,34.7282982,37.1357994,210.779007,-184.5460052,-73.8488998,4
585835.8479,4631498.573,13759,16600,18656,74.2986984,14.0176001,12.4153004,5.5785799,1.37046,661.2160034,1.4739,0.123081,5.0718699,94.3386993,5.0746102,53.8605995,19.6653996,343.131012,3.33108,25.3994999,3.12673,18.2875996,16.8677998,1.35136,504.1260071,6.8284998,3.36131,7.82621,9.9447298,544.5020142,15.9372997,0.59321,63.2551994,1.06478,304.5880127,8.6272697,2190.949951,2.01842,57.9227982,0.649801,19.5855007,48.8530006,139.4759979,-204.9089966,111.4400024,4
587835.8479,4631498.573,12377,14110,16478,71.7652969,13.1646996,13.2173004,5.9752898,1.35864,714.7390137,1.6822799,0.130027,4.4025502,86.362999,6.3129401,53.1367989,23.8024998,343.4719849,3.55565,22.9111004,3.4307401,21.3390007,15.9035997,1.42946,525.3690186,5.8329802,3.37149,7.5363698,10.0937004,592.9509888,16.0851002,0.703523,63.2752991,1.1099401,285.5570068,7.5983901,2353.300049,1.2925299,66.819397,0.702263,18.7175007,49.3630981,125.6060028,-205.4850006,129.6450043,4
596835.8479,4631498.573,11999,13074,15980,60,7.00001,13.8699999,1.4,1.2,740,1.1,0.06,4.5500002,84,5.1199999,51.7000008,16.9300003,530,3.3699999,5.00001,3.1400001,10.5,8.8000097,1.24,550,6.1300001,3.6500001,8.1099997,9.1400003,561,16.6700001,0.39,63.6199989,1.8,301,10.8100004,2071,1.28,52.2299995,1.51,18.8199997,35.2999992,109,-208.8569946,59.4782982,4
615835.8479,4631498.573,11668,11657,14295,53.2900009,9.8909702,14.2122002,3.8175399,0.48126,628.2449951,1.86976,0.135289,5.1599202,79.2136993,6.8098102,48.4672012,16.1455994,319.3819885,3.07094,4.4583101,3.07812,13.3612003,12.8720999,1.55053,482.4089966,5.6839399,3.6937599,7.15661,10.5892,514.9470215,13.1082001,0.336373,62.4033012,1.4815201,321.4330139,6.9802599,2033.089966,1.06371,50.1375008,0.888602,17.1082993,35.6548996,111.4560013,-213.4120026,-15.1360998,4
618835.8479,4631498.573,11992,13917,16436,50,15,14.0900002,6.3000002,0.5,532,2.3,0.29,4.29,83,8.7399998,52.6100006,15.8900003,426,2.75,2,3.1900001,11.6000004,11,1.36,427,5.4400001,3.7,6.5999999,12.9499998,436,14.1700001,0.4,64.5400009,1.4,311,4.9699998,1773,0.96,46.5800018,0.79,14.9899998,34.2999992,104,-214.6260071,-24.9200993,4
587835.8479,4630498.573,12119,13585,15569,64.2857971,12.9990997,13.0417004,4.5141001,1.07862,701.9899902,1.82855,0.120713,3.86678,73.2477036,5.0733199,48.0626984,18.8554993,308.8540039,2.98314,18.6432991,3.3803301,20.4106007,14.1035995,1.15283,470.9570007,5.7073302,3.47929,7.6303401,9.4655895,508.6270142,15.4629002,0.49817,65.5141983,1.17497,283.4979858,7.8060699,1919.25,1.33863,53.1944008,0.722845,17.0730991,38.8669014,118.0360031,-207.0370026,132.2799988,4
588835.8479,4630498.573,12415,14041,16494,62.8572998,15.0396996,13.3816996,4.6655698,0.846163,718.776001,1.89117,0.12415,3.7537,77.0362015,5.76753,45.0140991,20.5522995,312.5190125,3.1722701,15.7205,3.42361,20.6410007,13.7739,1.2168601,495.2860107,5.0957799,3.5150001,7.5817599,9.6484098,543.2940063,15.9766998,0.568632,65.1164017,1.26341,283.5140076,6.7540398,2069.800049,1.20198,57.5955009,0.762148,17.1802998,40.0452995,116.3529968,-207.3009949,143.7100067,4
589835.8479,4630498.573,12494,14515,17177,63.9272003,12.8771,13.5071001,4.4473801,0.674913,713.1790161,1.79651,0.147491,3.80424,72.6443024,5.99264,45.8866997,19.8936996,316.8120117,3.29808,13.8577995,3.2907701,20.7670002,14.5242004,1.25781,537.039978,5.2765498,3.6031699,7.2467299,9.40413,562.2630005,15.6127996,0.495374,64.7536011,1.18581,292.855011,7.0637798,2094.02002,1.20785,60.1954002,0.713615,17.1704998,43.2812004,115.7850037,-207.9360046,116.9039993,4
591835.8479,4630498.573,12024,14089,16668,69.9964981,9.7499599,13.7725,3.67239,0.732133,678.4349976,1.6250401,0.218187,4.1216698,69.177597,6.8537798,44.8051987,18.9101009,359.0299988,3.6249199,12.3922005,2.95508,20.1074009,14.1037998,1.37998,628.6240234,5.4468999,3.7464099,6.8243098,9.3171301,594.9310303,14.6889,0.339295,63.8805008,1.28566,311.0650024,7.7544098,2224.330078,1.21501,64.7914963,0.666426,17.2982006,48.141201,112.8929977,-208.5279999,81.0152969,4
582835.8479,4629498.573,11915,12218,13423,70,6.5,11.1899996,3.7,0.5,631,1.5,0.06,5.4200001,100,3.9200001,41.2299995,13.6999998,258,2.3099999,11,2.9400001,11,11.1999998,0.75,399,7.4099998,3.1600001,5.7399998,7.54,378,15.8500004,0.31,66.3000031,1.8,292,6.1199999,1398,1.12,37.8300018,0.7,16.5400009,26.7000008,109,-207.2380066,96.3906021,4
