,X,Y,type,B1,B4,B7,Ag,B,Al2O3,As,Au,Ba,Be,Bi,CaO,Cd,Co,Cr,Cu,F,Fe2O3,Hg,K2O,La,Li,MgO,Mn,Mo,Na2O,Nb,Ni,P,Pb,Sb,SiO2,Sn,Sr,Th,Ti,U,V,W,Y2,Zn,Zr,Gravity,Magnetic
92,284000,4647000,0,13607,15154,18190,50.5032997,8.4837704,11.9133997,1.47698,0.436382,420.0220032,1.9190201,0.273483,1.55497,25.9738007,3.17471,12.8176003,5.5548501,430.8989868,1.31765,2.3833899,3.5894599,15.3718004,16.9260006,0.590441,238.9819946,0.385078,3.5175099,6.7718902,6.5093398,166.7590027,12.7350998,0.280679,77.9285965,1.55117,155.5480042,7.34234,998.1229858,1.82068,22.3115005,0.571254,22.7912006,27.6277008,82.5579987,-135.2369995,-85.4132004
93,285000,4647000,0,13568,14686,16859,45,3.6329999,11.4300003,0.75,0.61,360,2.0999999,0.23,1.04,16,1.3,8,3.3,324,0.74,3,4.02,12.8999996,15.6999998,0.22,163,0.41,3.51,6.5999999,4.1999998,110,13.3999996,0.2,82.25,1.38,122,6.5999999,558,1.8,7.3000002,0.43,24.2999992,22.2000008,74,-134.9589996,-100.276001
94,287000,4647000,0,14557,16576,19185,44,4.8340001,12.8999996,0.82,0.4,630,1.8,0.11,1.73,17,1.8,6.8000002,3.7,308,0.87,2,3.9000001,13.5,16.2999992,0.29,183,0.42,3.6700001,6.3000002,4.3000002,159,7.6999998,0.16,77.3000031,1.21,182,6.4000001,615,1.3,12.8999996,0.54,20.5,20,101,-134.9459991,-33.8576012
95,288000,4647000,0,14667,16522,19377,44.6292,6.20682,12.6809998,1.1490999,0.369842,609.0499878,1.74341,0.132901,1.77034,21.9857006,2.26477,10.6576004,4.8172698,272.5130005,1.07052,2.0795701,4.0133801,13.2665997,15.6098003,0.390755,197.3209991,0.331652,3.6110301,6.3459501,5.0436301,155.3110046,12.3354998,0.172325,75.8268967,1.21345,169.3329926,6.9624801,724.7050171,1.4743201,16.6170998,0.645868,21.3206005,38.9878998,80.3789978,-134.9750061,-17.9601002
96,289000,4647000,0,14681,16550,19223,47,6.8870001,13.4200001,1.2,0.4,721,1.7,0.063,2.01,24,1.9,12.1999998,3.7,194,0.97,2,4.3299999,13.1000004,15.3999996,0.31,181,0.19,3.71,6.5,4.6999998,154,15.6999998,0.16,73.0800018,1.034,179,6.1999998,635,1.3,14.1999998,0.43,22,77.5999985,65,-135.1490021,12.6161003
97,290000,4647000,0,14627,16483,19343,43.4886017,6.8387198,12.4596004,1.5566601,0.307497,604.9899902,1.65073,0.138367,1.79233,24.7900009,2.5432601,11.5724001,5.4984002,244.4880066,1.3505599,2.31148,4.0205302,13.4118004,14.0574999,0.465571,202.6900024,0.33217,3.64046,6.3340702,5.3466101,161.2929993,13.4425001,0.18681,75.0119019,1.13969,156.026001,7.1026502,803.9589844,1.51509,19.2630997,0.602322,20.6231003,39.2798004,69.552597,-135.0700073,10.1942997
98,291000,4647000,0,13959,15847,18875,40,5.4819999,11.8100004,1.6,0.24,573,1.7,0.17,1.6,16,1.9,8.8000002,3.5,264,1.46,2,4.3499999,13,13,0.32,162,0.18,3.6400001,5.8000002,4.8000002,133,11.6000004,0.19,75.4800034,0.861,111,7.3000002,625,1.4,13.5,0.31,19.8999996,17.2000008,62,-135.1150055,10.2275
99,283000,4646000,0,13078,13329,15478,55.2067986,13.9327002,12.4570999,2.1499,0.364089,465.2730103,1.79347,0.323862,2.16417,34.8153992,5.2902098,20.8290005,8.65588,434.1669922,2.0178199,2.14323,2.94645,18.7278004,16.8598003,1.02132,336.8469849,0.400043,3.6022799,7.1282201,9.16432,229.8350067,11.5702,0.387926,74.9076004,1.84182,195.9199982,7.48774,1509.75,1.88798,40.0042,0.728336,21.7579002,34.5368996,94.5090027,-135.1820068,-40.1421013
100,284000,4646000,0,13507,15192,18176,51.8221016,11.6185999,12.3444004,1.89189,0.372487,448.506012,1.84284,0.348938,2.03616,32.1800003,4.75033,19.3048,7.4826198,411.644989,1.84797,2.3571,3.0938399,17.5969009,16.8892994,0.907925,309.7290039,0.408217,3.5992999,7.10006,8.5111399,207.223999,11.8927002,0.346443,75.8581009,1.71961,184.5059967,7.7107902,1355.439941,1.8643,35.8241997,0.683239,22.1105995,31.3868008,97.5374985,-135.1119995,-63.3093987
101,287000,4646000,0,14762,16793,19178,45.6119003,6.9452801,12.5970001,1.30436,0.380962,548.1259766,1.82542,0.188473,1.87071,26.5876999,3.1085801,13.3091002,5.9109602,304.7550049,1.28306,2.1535499,3.71245,14.1789999,16.4069004,0.557471,241.5850067,0.384921,3.6462801,6.4416499,6.2207398,168.3110046,11.2481003,0.217305,75.9531021,1.46378,172.871994,7.20892,927.4520264,1.51869,23.4976997,0.733506,21.5872993,28.0981007,83.4802017,-134.7660065,3.4688301
102,288000,4646000,0,14254,16060,19386,44.8930016,6.6589098,12.6702995,1.37284,0.362144,567.8389893,1.75003,0.173515,1.9157,25.7147999,3.2429199,15.0318003,7.4317698,278.2319946,1.22791,2.1071701,3.81634,14.0930004,15.7467003,0.606079,247.2890015,0.389662,3.6085801,6.4642801,6.3929601,170.3939972,12.0670996,0.22336,75.1651001,1.4549299,169.3220062,7.06078,959.6569824,1.4750299,25.0503998,0.962047,21.5319996,35.6218987,77.7897034,-134.7839966,4.24891
103,289000,4646000,0,14438,16475,19153,44.2487984,7.3145399,12.7616997,1.50807,0.346262,590.9489746,1.67263,0.156439,1.98332,25.2835999,3.4123199,16.5569992,9.1833496,250.772995,1.18264,2.0462101,3.8879499,14.1094999,14.9923,0.664949,255.5310059,0.409064,3.57129,6.4839401,6.5515399,175.5980072,12.9013996,0.232553,74.2461014,1.45136,168.6970062,7.03263,1010.070007,1.4521199,27.0671997,1.20109,21.4298,43.6811981,73.5938034,-134.7980042,22.9473
104,290000,4646000,0,14013,16078,18926,43.0714989,7.9822698,12.4069004,1.73032,0.31251,562.4990234,1.62143,0.166721,1.89183,28.3206997,3.4537799,15.5655003,8.7833796,251.3589935,1.28566,2.2499299,3.75964,14.2966003,14.1037998,0.69112,252.5850067,0.418954,3.56284,6.51789,6.48241,178.0379944,12.7426004,0.242438,74.9985962,1.38858,160.2169952,7.1786098,1036.910034,1.5464,27.4482994,0.935645,20.7430992,35.9830017,74.7865982,-134.7700043,19.3794003
105,291000,4646000,0,14022,16036,19012,42.2570992,8.2192001,12.0756998,1.94705,0.277603,526.1539917,1.57135,0.179061,1.8216701,30.8110008,3.5787499,15.0465002,8.2660398,257.5390015,1.40848,2.50913,3.58518,14.6313,13.0774002,0.72696,249.4129944,0.45011,3.57213,6.5771799,6.49262,181.2030029,12.5233002,0.252203,75.6927032,1.38283,152.9179993,7.3228998,1078.27002,1.64054,28.2870007,0.688115,20.1352005,28.0704002,75.3780975,-134.6620026,11.7537003
106,287000,4645000,0,14523,15972,18617,45,7.6490002,12.3900003,1.4,0.4,541,1.9,0.16,1.77,34,3.0999999,12.3999996,4.5,276,1.36,2,3.8499999,14,17.6000004,0.51,241,0.2,3.78,6.1999998,6.1999998,153,11.8999996,0.22,75.5,1.354,157,7.5999999,934,1.5,22.2999992,0.68,22.2999992,23.2000008,67,-134.576004,7.0000801
